year,month,flood_area_km2,baseline_flood_area,anomaly
2021,1,6665992.418715485,5476078.372310588,1189914.0464048972
2021,2,6257056.79679034,5471791.2868963145,785265.5098940255
2021,3,6126204.286703439,5488246.172804768,637958.1138986712
2021,4,6782538.934716742,6076799.329725416,705739.6049913252
2021,5,6788992.966831693,6061288.557092974,727704.4097387195
2021,6,7368785.345460588,6139788.304207414,1228997.0412531737
2021,7,7283388.209463348,6141380.008406292,1142008.201057056
2021,8,7253714.076501714,6281789.00487954,971925.0716221742
2021,9,7440192.700890984,6348211.855854687,1091980.845036297
2021,10,6979319.649589715,6248877.436250936,730442.2133387784
2021,11,6943885.863643614,5841158.086755815,1102727.7768877987
2021,12,6683793.913417162,5928642.059922848,755151.8534943145
2022,1,5030621.69060091,5476078.372310588,-445456.6817096779
2022,2,5348495.696598216,5471791.2868963145,-123295.59029809851
2022,3,5268246.436170291,5488246.172804768,-219999.73663447704
2022,4,5724557.076852076,6076799.329725416,-352242.2528733406
2022,5,5736925.308527437,6061288.557092974,-324363.2485655369
2022,6,5829510.606267611,6139788.304207414,-310277.6979398038
2022,7,5443078.015635078,6141380.008406292,-698301.9927712139
2022,8,6022273.676392914,6281789.00487954,-259515.32848662604
2022,9,6002645.003252336,6348211.855854687,-345566.85260235146
2022,10,6297334.2246042425,6248877.436250936,48456.78835330624
2022,11,5381760.376228388,5841158.086755815,-459397.71052742656
2022,12,5766825.988675513,5928642.059922848,-161816.0712473346
2023,1,5262663.467958459,5476078.372310588,-213414.90435212944
2023,2,4751868.408356893,5471791.2868963145,-719922.8785394216
2023,3,5280590.327599558,5488246.172804768,-207655.84520521015
2023,4,5661920.936285742,6076799.329725416,-414878.39343967475
2023,5,5430590.037577288,6061288.557092974,-630698.5195156857
2023,6,5433037.063385475,6139788.304207414,-706751.240821939
2023,7,5623344.77450303,6141380.008406292,-518035.23390326183
2023,8,5761937.518188802,6281789.00487954,-519851.48669073824
2023,9,5907981.509207471,6348211.855854687,-440230.346647216
2023,10,5788212.054658013,6248877.436250936,-460665.38159292284
2023,11,5980825.071572708,5841158.086755815,139666.984816893
2023,12,5724841.670979134,5928642.059922848,-203800.3889437141
2024,1,5111705.511866729,5476078.372310588,-364372.86044385936
2024,2,5249193.630768813,5471791.2868963145,-222597.65612750128
2024,3,5093715.272672877,5488246.172804768,-394530.9001318915
2024,4,5406443.175688535,6076799.329725416,-670356.1540368814
2024,5,5776717.450112003,6061288.557092974,-284571.10698097106
2024,6,5549960.820533086,6139788.304207414,-589827.4836743288
2024,7,5829389.374882264,6141380.008406292,-311990.63352402765
2024,8,5868498.242697792,6281789.00487954,-413290.7621817477
2024,9,5874175.667628051,6348211.855854687,-474036.1882266365
2024,10,6200285.606129827,6248877.436250936,-48591.83012110926
2024,11,5032572.05203777,5841158.086755815,-808586.034718045
2024,12,5873647.602390964,5928642.059922848,-54994.45753188431
2025,1,5309408.772411356,5476078.372310588,-166669.5998992324
2025,2,5752341.901967309,5471791.2868963145,280550.61507099494
2025,3,5672474.540877678,5488246.172804768,184228.36807291023
2025,4,6808536.525083986,6076799.329725416,731737.1953585697
2025,5,6573217.022416447,6061288.557092974,511928.4653234733
2025,6,6517647.685390312,6139788.304207414,377859.38118289784
2025,7,6527699.667547738,6141380.008406292,386319.65914144646
2025,8,6502521.510616476,6281789.00487954,220732.50573693588
2025,9,6516064.398294594,6348211.855854687,167852.54243990686
2025,10,5979235.646272884,6248877.436250936,-269641.7899780525
2025,11,5866747.070296597,5841158.086755815,25588.983540781774
2025,12,5594101.124151467,5928642.059922848,-334540.93577138055
